2022-06-19 07:39:33.325196 :: target_cam_pos: (174, 35), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.165161,alt=598.98, target_gps_pos: (-35.3636449, 149.165161)
2022-06-19 07:39:33.359378 :: target_cam_pos: (171, 44), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.165161,alt=598.98, target_gps_pos: (-35.3636449, 149.165161)
2022-06-19 07:39:33.386762 :: target_cam_pos: (169, 58), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.165161,alt=598.98, target_gps_pos: (-35.3636449, 149.165161)
2022-06-19 07:39:33.410581 :: target_cam_pos: (169, 59), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.165161,alt=598.98, target_gps_pos: (-35.3636449, 149.165161)
2022-06-19 07:39:33.430721 :: target_cam_pos: (166, 72), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.165161,alt=598.98, target_gps_pos: (-35.3636449, 149.165161)
2022-06-19 07:39:33.455115 :: target_cam_pos: (164, 84), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.165161,alt=598.98, target_gps_pos: (-35.3636449, 149.165161)
2022-06-19 07:39:33.488357 :: target_cam_pos: (161, 96), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.165161,alt=598.98, target_gps_pos: (-35.3636449, 149.165161)
2022-06-19 07:39:33.514719 :: target_cam_pos: (159, 108), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.165161,alt=598.98, target_gps_pos: (-35.3636449, 149.165161)
2022-06-19 07:39:33.533602 :: target_cam_pos: (159, 110), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.165161,alt=598.98, target_gps_pos: (-35.3636449, 149.165161)
2022-06-19 07:39:33.569773 :: target_cam_pos: (156, 123), iha_gps_pos: LocationGlobalRelative:lat=-35.3636449,lon=149.165161,alt=598.98, target_gps_pos: (-35.3636449, 149.165161)
